Geneid         	YRIERR188044  	YRIERR188104  	YRIERR188234  	GBRERR188245  	GBRERR188257  	YRIERR188273  	GBRERR188337  	GBRERR188383  	GBRERR188401  	GBRERR188428  	YRIERR188454  	YRIERR204916
NM_033031	15	17	3	3	3	3	8	4	11	3	15	7
NM_033670	0	0	0	0	0	0	0	0	0	0	0	0
NM_144969	0	0	0	0	0	0	0	0	0	0	0	0
NM_001168362	0	0	0	0	0	0	0	0	0	0	0	0
NM_001168361	0	0	0	0	0	0	0	0	0	0	0	0
NM_001168360	0	0	0	0	0	0	0	0	0	0	0	0
NM_001146257	0	0	1	0	0	0	0	0	0	0	0	0
NM_001146256	0	0	0	0	0	0	0	0	0	0	0	0
NM_001168363	0	0	0	0	0	0	0	0	0	0	0	0
NM_014467	0	0	0	0	0	1	0	0	0	0	0	0
NM_001271680	0	0	0	0	0	0	0	0	0	0	0	0
NM_032969	0	0	0	0	0	0	0	0	0	0	0	0
NM_032968	0	0	0	0	0	0	0	0	0	0	0	0
NM_021118	0	0	0	0	0	0	0	0	0	0	0	1
NM_000351	954	1746	1903	457	715	694	1972	731	591	1194	919	1542
NM_013427	0	0	0	0	0	0	0	0	0	0	0	0
NM_000381	0	0	0	0	0	0	0	0	0	0	0	0
NM_001098624	0	0	0	0	0	0	0	0	0	0	0	0
NM_001118886	0	0	0	0	0	0	0	0	0	0	0	0
NM_006125	5	6	7	6	1	3	5	3	11	4	5	12
NM_001193278	0	0	0	0	0	0	0	0	0	0	0	0
NM_033290	0	0	0	0	0	0	0	0	0	0	0	0
NM_033289	0	0	0	0	0	0	0	0	0	0	0	0
NM_001193277	0	0	0	0	0	0	0	0	0	0	0	0
NM_014728	1	1	0	0	1	0	0	1	1	0	0	0
NM_015507	0	0	0	0	0	0	0	0	0	0	0	0
NR_109776	0	2	0	3	0	0	1	0	0	0	0	1
NM_002063	0	0	0	0	0	0	0	0	0	0	0	0
NM_001118885	0	0	0	0	0	0	0	0	0	0	0	0
NM_001167890	0	0	0	0	0	0	0	0	0	0	0	0
NM_001193280	0	0	0	0	0	0	0	0	0	0	0	0
NM_001193279	0	0	0	0	0	0	0	0	0	0	0	0
NM_001171942	0	1	0	0	0	0	0	0	0	0	0	0
NM_021785	0	0	0	0	0	0	0	0	0	0	0	0
NR_073010	0	0	0	0	0	0	0	0	0	0	0	0
NM_001172743	0	0	0	0	0	0	0	0	0	0	0	0
NM_001172739	0	0	0	0	0	0	0	0	0	0	0	0
NM_001172732	0	0	0	0	0	0	0	0	0	0	0	0
NM_198279	260	388	226	137	226	93	408	189	282	167	246	203
NR_033349	0	0	0	0	0	0	0	0	0	0	0	0
NR_033348	0	0	0	0	0	0	0	0	0	0	0	0
NM_004022	0	0	0	0	0	0	0	0	0	0	0	0
NM_004012	0	0	0	0	0	0	0	0	0	0	0	0
NM_004023	0	0	0	0	0	0	0	0	0	0	0	0
NM_004020	0	0	0	0	0	0	0	0	0	0	0	0
NM_000109	0	0	0	0	0	0	0	0	0	0	0	0
NM_004011	0	0	0	0	0	0	0	0	0	0	0	0
NM_004009	0	0	0	0	0	0	0	0	0	0	0	0
NM_004006	0	0	0	0	0	0	0	0	0	0	0	0
NM_004014	0	0	0	0	0	0	0	0	0	0	0	0
NM_004013	0	0	0	0	0	0	0	0	0	0	0	0
NM_004010	0	0	0	0	0	0	0	0	0	0	0	0
NM_004021	0	0	0	0	0	0	0	0	0	0	0	0
NM_014271	0	0	0	0	0	0	0	0	1	0	0	0
NM_001291421	0	0	0	0	0	0	0	0	0	0	0	0
NM_001291418	0	0	0	0	0	0	0	0	0	0	0	0
NM_001291417	0	0	0	0	0	0	0	0	0	0	0	0
NM_001291416	0	0	0	0	0	0	0	0	0	0	0	0
NM_001291415	1	0	0	0	0	0	4	0	0	0	0	0
NM_021140	0	0	0	0	0	0	0	0	0	0	0	0
NM_033215	4	5	6	36	46	3	82	37	35	4	42	38
NM_001204468	0	0	0	0	0	0	0	0	0	0	0	0
NM_001204466	0	0	0	0	0	0	0	0	0	0	0	0
NM_005676	0	0	0	0	0	0	0	0	0	0	0	0
NM_001204467	0	0	0	0	0	0	0	0	0	0	0	0
NM_001184745	0	0	0	0	0	0	0	0	0	0	0	0
NM_152856	0	0	0	0	0	0	0	0	0	0	0	0
NR_111960	0	0	0	0	0	0	0	0	0	0	0	0
NM_001178032	0	0	0	0	0	0	0	0	0	0	0	0
NM_001243804	0	0	0	0	0	0	0	0	0	0	0	0
NM_001166418	0	0	0	0	0	0	0	0	0	0	0	0
NM_018486	0	0	0	0	0	0	0	0	1	0	0	0
NM_012278	7	4	8	6	3	1	11	1	4	1	6	6
NM_006517	1	0	2	0	0	1	0	0	1	0	0	0
NR_103715	0	0	0	0	0	0	0	0	0	0	0	0
NM_002547	6	1	0	0	1	0	2	1	1	0	1	1
NR_051952	0	0	0	0	0	0	0	0	0	0	0	0
NM_001303277	0	0	0	0	0	0	0	0	0	0	0	0
NM_153252	1383	1692	1132	588	761	597	1396	903	1549	904	1052	1108
NM_000489	14	18	8	1	7	5	17	5	11	9	7	8
NM_138270	0	0	0	0	0	0	0	0	0	0	0	0
NM_000390	635	720	678	342	427	298	633	565	720	458	520	847
NM_001145414	48	35	52	22	52	21	42	34	32	18	41	33
NR_024062	0	0	0	0	0	0	0	0	0	0	0	0
NM_006729	42	59	30	23	25	18	50	35	43	44	33	44
NR_024608	14	4	23	7	12	7	5	11	9	9	8	17
NM_001085354	0	0	0	0	0	0	0	0	0	0	0	0
NM_198465	0	0	1	0	0	0	0	0	0	0	0	0
NM_024657	0	0	0	0	0	0	0	0	0	0	0	0
NM_017416	1	0	1	0	0	0	0	0	1	1	1	3
NM_001128172	0	0	0	0	0	0	0	0	0	0	0	0
NM_001128167	0	0	0	0	0	0	0	0	0	0	0	0
NM_017698	0	1	0	1	0	0	2	0	0	0	0	5
NM_001128166	0	0	0	0	0	0	0	0	0	0	0	0
NM_001128173	0	0	0	0	0	0	0	0	0	0	0	0
NM_032227	100	29	54	22	22	25	53	23	59	35	21	50
NM_002578	0	1	1	0	0	0	0	0	1	0	0	1
NM_001128168	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004308	0	0	0	2	0	0	0	0	2	0	0	1
NR_110399	0	0	0	1	0	0	0	0	0	0	0	0
NM_001163279	0	0	0	0	0	0	0	0	0	0	0	0
NM_001081550	3097	3936	2096	1220	2353	1160	3412	2529	2900	1993	2499	2513
NM_014253	0	0	0	0	0	0	0	0	0	0	0	0
NM_001163278	0	0	0	0	0	0	0	0	0	0	0	0
NM_001282607	0	0	0	0	0	0	0	0	0	0	0	0
NM_001306193	0	0	0	0	0	0	0	0	0	0	0	0
NM_021946	0	0	0	0	0	0	0	0	0	0	0	0
NM_144967	0	0	0	0	0	0	0	0	0	0	0	0
NM_194277	0	0	0	0	0	0	0	0	0	0	0	0
NM_001184772	22	12	29	13	7	10	17	3	13	10	11	7
NM_153834	0	0	0	0	0	0	0	0	0	0	0	0
NR_110381	0	1	0	1	1	0	0	0	0	0	2	1
NR_037183	0	0	0	0	0	0	0	0	0	0	0	0
NM_001169122	0	0	0	0	0	0	0	0	0	0	0	0
NM_002025	0	0	0	0	0	0	0	0	0	0	0	0
NM_001169123	0	0	0	0	0	0	0	0	0	0	0	0
NM_001169124	0	0	0	0	0	0	0	0	0	0	0	0
NM_001169125	0	0	0	0	0	0	0	0	0	0	0	0
NM_001170628	0	0	0	0	0	0	0	0	0	0	0	0
NR_027456	31	63	33	8	31	9	58	17	48	15	26	22
NM_006883	0	0	0	0	0	0	0	0	0	0	0	0
NM_001173474	0	0	0	0	0	0	0	0	0	0	0	0
NM_001173473	3	1	1	0	1	0	0	0	0	0	2	3
NM_004192	0	0	0	0	0	0	0	0	0	0	0	0
NM_145177	554	405	412	471	356	193	478	413	574	305	363	326
NM_175569	0	0	0	0	0	0	0	0	0	0	0	0
NM_001171135	0	0	0	10	11	1	33	12	8	1	7	5
NM_004729	0	0	0	0	0	0	0	0	0	0	0	0
NM_001171136	0	0	0	0	0	0	0	0	0	0	0	0
NR_003254	0	0	0	0	0	0	0	0	0	0	0	0
NM_001141920	0	0	0	0	0	0	0	0	0	0	0	0
NM_001141919	0	0	0	0	0	0	0	0	0	0	0	0
NM_001011719	0	0	0	0	0	0	0	0	0	1	0	0
NR_033380	17	19	9	4	13	2	15	5	21	7	12	5
NR_033381	46	56	30	18	11	6	13	17	25	14	32	33
NM_005044	1496	1523	2609	1188	1007	884	2339	1514	1542	1746	1577	2127
NR_038428	0	0	0	0	0	0	0	0	0	0	0	0
NM_020742	0	0	0	0	0	0	0	0	0	0	0	0
NM_001282145	0	0	0	0	0	0	0	0	0	0	0	0
NM_001282146	0	0	0	0	1	1	0	0	0	0	0	0
NM_181332	0	0	0	0	0	0	0	0	0	0	0	0
NM_001178135	0	4	9	0	0	5	5	0	4	2	0	1
NM_012080	0	0	0	0	0	0	0	0	0	0	0	0
NM_001178136	0	0	0	0	0	0	0	0	0	0	0	0
NM_001135565	0	1	2	1	1	2	3	0	2	1	1	0
NM_000216	12	3	5	4	10	0	1	10	13	21	2	0
NM_001649	1	0	3	20	0	1	2	2	0	10	1	0
NM_005647	0	2	0	1	1	0	13	8	0	0	2	4
NM_001139468	0	1	0	0	1	0	0	0	0	0	0	0
NM_001139467	0	0	0	0	0	0	0	0	0	0	0	0
NM_001139466	0	0	0	0	0	0	0	0	0	0	0	0
NM_001830	10	15	14	3	0	3	16	2	0	3	0	2
NM_015691	877	2459	3755	827	1075	920	2152	1282	841	1030	136	555
NM_001256944	0	0	0	0	0	0	0	0	0	0	0	0
NM_013423	1	0	0	0	1	1	0	0	0	0	0	0
NM_001287242	2	0	0	2	0	0	0	0	1	0	1	5
NM_021109	227361	224299	309442	122134	189405	111946	183151	155677	241410	140687	164024	142700
NM_003611	1453	1686	1227	730	1025	551	2134	1124	1530	1167	942	984
NM_017856	4	4	6	0	0	0	6	5	5	0	4	12
NM_001001994	0	0	0	2	2	0	0	2	2	0	0	0
