ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	762	3	2	0.000000	80.139108	71.845144	0.000000	0.000000	0	287	0
2	34929	1	0	0.000000	15.659681	14.191360	0.000000	0.000000	0	2348	0
3	4582	1	1	0.000000	31.976648	28.733086	0.000000	0.000000	0	647	0
4	76	0	0	0.000000	23.184211	22.631579	0.000000	0.000000	0	27	0
5	132112	1	1	0.000000	15.468088	3.944812	0.000000	0.000000	0	8779	0
6	109	0	0	0.000000	27.431193	12.146789	0.000000	0.000000	0	29	0
7	5628	1	0	0.000000	15.916311	14.680881	0.000000	0.000000	0	393	0
8	2	0	0	0.000000	30.500000	29.500000	0.000000	0.000000	0	15	0
9	242	2	1	0.000000	30.413223	25.929752	0.000000	0.000000	0	42	0
10	451	1	1	0.000000	13.399113	12.443459	0.000000	0.000000	0	33	0
11	2	1	2	0.000000	40.000000	39.000000	0.000000	0.000000	0	15	0
12	1	0	0	0.000000	34.000000	34.000000	0.000000	0.000000	0	17	0
13	242	1	2	0.000000	26.090909	24.487603	0.000000	0.000000	0	32	0
14	2	2	2	0.000000	37.000000	37.000000	0.000000	0.000000	0	15	0
15	12	1	1	0.000000	17.666667	17.666667	0.000000	0.000000	0	12	0
16	10	2	2	0.000000	32.000000	32.000000	0.000000	0.000000	0	20	0
17	16	1	1	0.000000	18.437500	18.437500	0.000000	0.000000	0	12	0
18	87	1	1	0.000000	20.505747	20.505747	0.000000	0.000000	0	18	0
19	40	2	1	0.000000	28.400000	28.325000	0.000000	0.000000	0	14	0
20	13	1	1	0.000000	16.000000	15.923077	0.000000	0.000000	0	12	0
21	17	2	1	0.000000	29.000000	27.882353	0.000000	0.000000	0	18	0
22	39	1	1	0.000000	16.000000	15.256410	0.000000	0.000000	0	15	0
