# Program:featureCounts v2.0.1; Command:"/opt/subread-2.0.1-Linux-x86_64/bin/featureCounts" "-p" "-T" "10" "-a" "genes/chrX.gtf" "-o" "featurecounts_out/all_featureCountx.txt" "sorted_bam/ERR188044.bam" "sorted_bam/ERR188104.bam" "sorted_bam/ERR188234.bam" "sorted_bam/ERR188245.bam" "sorted_bam/ERR188257.bam" "sorted_bam/ERR188273.bam" "sorted_bam/ERR188337.bam" "sorted_bam/ERR188383.bam" "sorted_bam/ERR188401.bam" "sorted_bam/ERR188428.bam" "sorted_bam/ERR188454.bam" "sorted_bam/ERR204916.bam" 
Geneid	Chr	Start	End	Strand	Length	sorted_bam/ERR188044.bam	sorted_bam/ERR188104.bam	sorted_bam/ERR188234.bam	sorted_bam/ERR188245.bam	sorted_bam/ERR188257.bam	sorted_bam/ERR188273.bam	sorted_bam/ERR188337.bam	sorted_bam/ERR188383.bam	sorted_bam/ERR188401.bam	sorted_bam/ERR188428.bam	sorted_bam/ERR188454.bam	sorted_bam/ERR204916.bam
NM_033031	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	50284540;50285127;50288780;50294863;50308505;50312537;50313856;50342202;50346652;50347626;50351241;50351607	50284616;50285259;50288887;50294993;50311496;50312632;50313948;50342339;50346807;50347775;50351371;50351912	+;+;+;+;+;+;+;+;+;+;+;+	4511	15	17	3	3	3	3	8	4	11	3	15	7
NM_033670	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	50284540;50285127;50288780;50342202;50346652;50347626;50351241;50351607	50284616;50285259;50288887;50342339;50346807;50347775;50351371;50351912	+;+;+;+;+;+;+;+	1199	0	0	0	0	0	0	0	0	0	0	0	0
NM_144969	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	75368427;75379120;75417087;75421864;75424652;75429078;75429948;75431451;75450802;75478891;75505821;75522889	75372945;75379198;75417190;75421990;75424784;75429198;75429980;75431520;75450922;75478985;75505847;75523502	-;-;-;-;-;-;-;-;-;-;-;-	6043	0	0	0	0	0	0	0	0	0	0	0	0
NM_001168362	chrX;chrX;chrX;chrX;chrX	91835461;91876781;92387735;92468299;92618264	91836044;91879273;92387933;92468322;92623229	+;+;+;+;+	8266	0	0	0	0	0	0	0	0	0	0	0	0
NM_001168361	chrX;chrX;chrX;chrX;chrX;chrX;chrX	91835461;91876781;92201375;92263114;92287967;92468299;92618264	91836044;91879273;92201455;92263143;92288002;92468322;92623229	+;+;+;+;+;+;+	8214	0	0	0	0	0	0	0	0	0	0	0	0
NM_001168360	chrX;chrX;chrX;chrX;chrX;chrX	91835461;91876781;92201375;92263114;92387735;92618264	91836044;91879273;92201455;92263143;92387933;92623229	+;+;+;+;+;+	8353	0	0	0	0	0	0	0	0	0	0	0	0
NM_001146257	chrX;chrX;chrX	75450320;75478891;75522889	75450922;75478985;75523502	-;-;-	1312	0	0	1	0	0	0	0	0	0	0	0	0
NM_001146256	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	75368427;75379120;75417087;75421864;75424652;75429078;75429948;75431451;75450802;75478891;75522889	75372945;75379198;75417190;75421990;75424784;75429198;75429980;75431520;75450922;75478985;75523502	-;-;-;-;-;-;-;-;-;-;-	6016	0	0	0	0	0	0	0	0	0	0	0	0
NM_001168363	chrX;chrX;chrX;chrX;chrX	91835461;91876781;92201375;92387735;92618264	91836044;91879273;92201455;92387933;92623229	+;+;+;+;+	8323	0	0	0	0	0	0	0	0	0	0	0	0
NM_014467	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	100644166;100646193;100650785;100662176;100664774;100665243;100665536;100666754;100667274;100669248;100670807	100644515;100646404;100650865;100662367;100664950;100665369;100665657;100666933;100667407;100669369;100671299	+;+;+;+;+;+;+;+;+;+;+	2190	0	0	0	0	0	1	0	0	0	0	0	0
